Date,Open,High,Low,Close,Adj Close,Volume,MA10,MA20,MA30,MA40,MA50,MA100,MA200,EMA10,EMA25,EMA50,RSI,MACD,MACD_Signal,SP500_Close,VIX_Close
2015-04-22,27.15,27.55,27.07,27.46,27.43,31806000,27.19,27.43,27.66,27.86,27.71,26.98,27.88,27.24,27.44,27.45,49.74,-0.18,-0.17,2107.96,12.71
2015-04-23,27.52,28.06,27.5,27.87,27.84,78184000,27.24,27.4,27.67,27.87,27.73,26.98,27.88,27.35,27.48,27.47,63.39,-0.12,-0.16,2112.93,12.48
2015-04-24,29.0,29.24,28.42,28.68,28.65,92168000,27.37,27.43,27.69,27.89,27.77,26.99,27.88,27.6,27.57,27.52,70.12,-0.0,-0.13,2117.69,12.29
2015-04-27,28.64,28.78,28.11,28.31,28.27,48062000,27.45,27.45,27.71,27.89,27.79,27.01,27.87,27.73,27.62,27.55,63.21,0.06,-0.09,2108.92,13.12
2015-04-28,28.22,28.39,28.05,28.22,28.19,37178000,27.58,27.46,27.71,27.88,27.8,27.02,27.87,27.82,27.67,27.57,59.92,0.1,-0.05,2114.76,12.41
2015-04-29,28.03,28.29,27.95,28.07,28.04,33622000,27.68,27.48,27.72,27.86,27.82,27.03,27.86,27.86,27.7,27.59,58.31,0.11,-0.02,2106.85,13.39
2015-04-30,27.93,28.06,27.34,27.44,27.41,47240000,27.71,27.47,27.69,27.82,27.82,27.04,27.85,27.78,27.68,27.59,50.12,0.07,-0.0,2085.51,14.55
2015-05-01,27.53,27.56,27.19,27.56,27.53,36572000,27.8,27.5,27.67,27.78,27.83,27.05,27.84,27.74,27.67,27.58,51.33,0.05,0.01,2108.29,12.7
2015-05-04,27.55,27.83,27.37,27.64,27.61,35260000,27.84,27.52,27.65,27.76,27.84,27.06,27.83,27.72,27.67,27.59,57.45,0.04,0.02,2114.49,12.85
2015-05-05,27.51,27.63,27.12,27.15,27.12,28528000,27.84,27.52,27.61,27.72,27.85,27.06,27.81,27.62,27.63,27.57,51.04,-0.0,0.01,2089.46,14.31
2015-05-06,27.13,27.2,26.61,26.75,26.72,39034000,27.77,27.48,27.54,27.69,27.84,27.07,27.8,27.46,27.56,27.54,45.85,-0.07,-0.0,2080.15,15.15
2015-05-07,26.8,27.26,26.67,27.1,27.07,31844000,27.69,27.47,27.5,27.67,27.84,27.07,27.78,27.4,27.53,27.52,54.75,-0.1,-0.02,2088.0,15.13
2015-05-08,27.44,27.64,27.4,27.45,27.42,28226000,27.57,27.47,27.48,27.66,27.83,27.08,27.77,27.41,27.52,27.52,52.38,-0.09,-0.04,2116.1,12.86
2015-05-11,27.42,27.67,27.28,27.29,27.26,21858000,27.47,27.46,27.46,27.65,27.81,27.1,27.76,27.39,27.5,27.51,51.51,-0.1,-0.05,2105.33,13.85
2015-05-12,27.14,27.15,26.75,26.94,26.91,35282000,27.34,27.46,27.42,27.62,27.77,27.12,27.74,27.3,27.46,27.49,44.52,-0.13,-0.07,2099.12,13.86
2015-05-13,27.02,27.19,26.95,26.97,26.94,24238000,27.23,27.45,27.39,27.6,27.73,27.14,27.73,27.24,27.42,27.47,39.76,-0.15,-0.08,2098.48,13.76
2015-05-14,27.2,27.48,27.12,27.46,27.43,31736000,27.23,27.47,27.39,27.58,27.7,27.15,27.71,27.28,27.42,27.47,34.95,-0.12,-0.09,2121.1,12.74
2015-05-15,27.52,27.53,27.12,27.32,27.29,33440000,27.21,27.5,27.4,27.55,27.67,27.17,27.7,27.29,27.42,27.46,37.16,-0.11,-0.09,2122.73,12.38
2015-05-18,27.19,27.42,27.11,27.33,27.3,26706000,27.18,27.51,27.41,27.53,27.64,27.17,27.69,27.3,27.41,27.46,38.18,-0.1,-0.1,2129.2,12.73
2015-05-19,27.4,27.67,27.36,27.46,27.43,47126000,27.21,27.52,27.41,27.51,27.62,27.18,27.69,27.33,27.41,27.46,41.87,-0.08,-0.09,2127.83,12.85
2015-05-20,27.55,27.8,27.25,27.63,27.59,30840000,27.3,27.53,27.42,27.48,27.61,27.19,27.68,27.38,27.43,27.46,52.87,-0.05,-0.08,2125.85,12.88
2015-05-21,27.51,27.88,27.47,27.84,27.81,34170000,27.37,27.53,27.43,27.47,27.61,27.19,27.68,27.47,27.46,27.48,54.21,-0.01,-0.07,2130.82,12.11
2015-05-22,27.72,27.91,27.68,27.73,27.69,24266000,27.4,27.48,27.44,27.46,27.61,27.2,27.67,27.51,27.48,27.49,51.24,0.01,-0.05,2126.06,12.13
2015-05-26,27.63,27.67,27.15,27.36,27.33,37474000,27.4,27.44,27.44,27.44,27.6,27.21,27.67,27.49,27.47,27.48,53.18,-0.0,-0.04,2104.2,14.06
2015-05-27,27.43,27.76,27.33,27.71,27.68,34844000,27.48,27.41,27.47,27.43,27.59,27.22,27.66,27.53,27.49,27.49,64.91,0.02,-0.03,2123.48,13.27
2015-05-28,27.69,27.79,27.54,27.71,27.68,23544000,27.56,27.39,27.49,27.43,27.59,27.23,27.65,27.56,27.51,27.5,60.58,0.03,-0.02,2120.79,13.31
2015-05-29,27.66,27.7,27.25,27.27,27.23,43446000,27.54,27.38,27.49,27.43,27.57,27.25,27.65,27.51,27.49,27.49,46.94,0.01,-0.01,2107.39,13.84
2015-06-01,27.44,27.53,27.18,27.46,27.43,33210000,27.55,27.38,27.52,27.44,27.55,27.27,27.64,27.5,27.49,27.49,52.86,0.0,-0.01,2111.73,13.97
2015-06-02,27.37,27.94,27.33,27.7,27.67,31842000,27.59,27.38,27.53,27.45,27.54,27.29,27.63,27.53,27.5,27.5,63.18,0.02,-0.0,2109.6,14.24
2015-06-03,27.75,27.9,27.61,27.76,27.73,26710000,27.62,27.41,27.55,27.46,27.53,27.32,27.62,27.58,27.52,27.51,63.55,0.04,0.0,2114.07,13.66
2015-06-04,27.61,27.8,27.46,27.58,27.55,26866000,27.61,27.45,27.56,27.47,27.51,27.34,27.61,27.58,27.53,27.51,52.38,0.04,0.01,2095.84,14.71
2015-06-05,27.6,27.67,27.37,27.48,27.45,24396000,27.58,27.47,27.55,27.47,27.49,27.37,27.6,27.56,27.52,27.51,52.94,0.03,0.02,2092.83,14.21
2015-06-08,27.48,27.49,27.15,27.17,27.14,27336000,27.52,27.46,27.5,27.46,27.47,27.39,27.59,27.49,27.5,27.5,47.23,-0.0,0.01,2079.28,15.29
2015-06-09,27.17,27.24,26.94,27.11,27.08,30016000,27.5,27.45,27.46,27.46,27.45,27.41,27.58,27.42,27.47,27.48,43.67,-0.04,0.0,2080.15,14.47
2015-06-10,27.28,27.74,27.26,27.63,27.6,30316000,27.49,27.48,27.44,27.47,27.45,27.43,27.57,27.46,27.48,27.49,50.07,-0.02,-0.0,2105.2,13.22
2015-06-11,27.72,27.74,27.46,27.5,27.47,25872000,27.47,27.51,27.42,27.48,27.44,27.45,27.56,27.47,27.48,27.49,44.51,-0.01,-0.0,2108.86,12.85
2015-06-12,27.36,27.44,27.28,27.37,27.34,25468000,27.48,27.51,27.41,27.49,27.44,27.47,27.55,27.45,27.47,27.48,44.31,-0.02,-0.01,2094.11,13.78
2015-06-15,27.14,27.2,26.96,27.15,27.12,27150000,27.45,27.5,27.4,27.5,27.44,27.48,27.54,27.39,27.45,27.47,46.46,-0.04,-0.01,2084.43,15.39
2015-06-16,27.22,27.33,27.08,27.24,27.21,32526000,27.4,27.49,27.39,27.5,27.44,27.48,27.53,27.37,27.43,27.46,41.31,-0.05,-0.02,2096.29,14.81
2015-06-17,27.27,27.42,27.09,27.33,27.3,24440000,27.36,27.49,27.39,27.51,27.44,27.49,27.52,27.36,27.42,27.46,43.18,-0.05,-0.03,2100.44,14.5
2015-06-18,27.4,27.86,27.4,27.81,27.78,41192000,27.38,27.5,27.43,27.51,27.45,27.5,27.51,27.44,27.45,27.47,59.64,-0.01,-0.02,2121.24,13.19
2015-06-19,27.83,27.9,27.61,27.88,27.84,59290000,27.42,27.5,27.45,27.51,27.46,27.51,27.5,27.52,27.49,27.49,57.73,0.02,-0.01,2109.99,13.96
2015-06-22,27.97,28.28,27.95,27.98,27.95,34752000,27.5,27.51,27.47,27.5,27.47,27.54,27.49,27.61,27.53,27.51,55.6,0.06,0.0,2122.85,12.74
2015-06-23,27.99,28.25,27.86,28.17,28.14,31396000,27.61,27.55,27.5,27.49,27.49,27.56,27.48,27.71,27.57,27.53,57.56,0.1,0.02,2124.2,12.11
