Date,Open,High,Low,Close,Adj Close,Volume,MA10,MA20,MA30,MA40,MA50,MA100,MA200,EMA10,EMA25,EMA50,RSI,MACD,MACD_Signal,SP500_Close,VIX_Close
2015-04-22,42.67,43.13,42.55,42.99,37.32,25064300,42.12,41.6,41.77,42.14,42.4,44.23,44.87,42.23,42.05,42.53,70.9,0.09,-0.14,2107.96,12.71
2015-04-23,42.89,43.61,42.8,43.34,37.62,46309500,42.3,41.69,41.81,42.12,42.42,44.18,44.88,42.43,42.15,42.57,78.5,0.18,-0.08,2112.93,12.48
2015-04-24,45.66,48.14,45.65,47.87,41.56,130933700,42.92,42.02,42.04,42.22,42.53,44.18,44.91,43.42,42.59,42.77,86.66,0.61,0.06,2117.69,12.29
2015-04-27,47.23,48.13,47.22,48.03,41.69,59248200,43.55,42.38,42.26,42.32,42.63,44.18,44.94,44.26,43.01,42.98,87.1,0.95,0.24,2108.92,13.12
2015-04-28,47.78,49.21,47.7,49.16,42.68,60730800,44.3,42.79,42.52,42.45,42.73,44.19,44.97,45.15,43.48,43.22,89.57,1.3,0.45,2114.76,12.41
2015-04-29,48.72,49.31,48.5,49.06,42.59,47804600,44.98,43.21,42.76,42.6,42.84,44.2,45.01,45.86,43.91,43.45,88.59,1.54,0.67,2106.85,13.39
2015-04-30,48.7,49.54,48.6,48.64,42.22,64725500,45.63,43.6,42.97,42.74,42.94,44.19,45.04,46.37,44.28,43.65,84.6,1.69,0.87,2085.51,14.55
2015-05-01,48.58,48.88,48.4,48.66,42.24,38937300,46.33,44.02,43.18,42.88,43.05,44.2,45.06,46.78,44.61,43.85,84.57,1.78,1.05,2108.29,12.7
2015-05-04,48.37,48.87,48.18,48.24,41.88,34039500,46.86,44.36,43.36,43.02,43.13,44.2,45.08,47.05,44.89,44.02,82.02,1.8,1.2,2114.49,12.85
2015-05-05,47.82,48.16,47.31,47.6,41.32,50369200,47.36,44.66,43.52,43.14,43.2,44.2,45.1,47.15,45.1,44.16,75.87,1.75,1.31,2089.46,14.31
2015-05-06,47.57,47.77,46.02,46.28,40.18,52433000,47.69,44.9,43.63,43.25,43.25,44.19,45.1,46.99,45.19,44.25,67.85,1.58,1.37,2080.15,15.15
2015-05-07,46.27,47.09,46.16,46.7,40.54,32971700,48.02,45.16,43.8,43.37,43.3,44.19,45.11,46.94,45.31,44.34,72.24,1.46,1.38,2088.0,15.13
2015-05-08,47.55,47.98,47.52,47.75,41.45,35364900,48.01,45.47,44.02,43.53,43.38,44.2,45.13,47.09,45.5,44.48,71.65,1.44,1.4,2116.1,12.86
2015-05-11,47.55,47.91,47.37,47.37,41.12,24609400,47.95,45.75,44.23,43.68,43.45,44.21,45.14,47.14,45.64,44.59,70.95,1.37,1.39,2105.33,13.85
2015-05-12,46.85,47.68,46.42,47.35,41.1,29928300,47.76,46.03,44.45,43.83,43.52,44.23,45.16,47.18,45.77,44.7,69.89,1.3,1.37,2099.12,13.86
2015-05-13,48.19,48.32,47.57,47.63,41.35,34184600,47.62,46.3,44.68,43.98,43.6,44.25,45.17,47.26,45.91,44.81,69.7,1.26,1.35,2098.48,13.76
2015-05-14,48.03,48.82,48.03,48.72,42.29,32980900,47.63,46.63,44.95,44.13,43.72,44.26,45.2,47.52,46.13,44.97,55.7,1.29,1.34,2121.1,12.74
2015-05-15,48.87,48.91,48.05,48.3,41.93,28642700,47.59,46.96,45.21,44.28,43.82,44.26,45.22,47.67,46.3,45.1,51.75,1.27,1.32,2122.73,12.38
2015-05-18,47.98,48.22,47.61,48.01,41.68,24136500,47.57,47.22,45.43,44.41,43.93,44.26,45.25,47.73,46.43,45.21,41.63,1.22,1.3,2129.2,12.73
2015-05-19,47.56,47.81,47.18,47.58,41.57,28574800,47.57,47.46,45.63,44.53,44.03,44.26,45.27,47.7,46.52,45.3,39.72,1.13,1.27,2127.83,12.85
2015-05-20,47.39,47.93,47.27,47.58,41.57,25047900,47.7,47.69,45.84,44.65,44.14,44.25,45.29,47.68,46.6,45.39,42.18,1.05,1.23,2125.85,12.88
2015-05-21,47.28,47.6,47.01,47.42,41.43,22410700,47.77,47.9,46.03,44.79,44.25,44.25,45.31,47.63,46.66,45.47,41.04,0.96,1.17,2130.82,12.11
2015-05-22,47.3,47.35,46.82,46.9,40.98,25720600,47.69,47.85,46.21,44.94,44.36,44.24,45.33,47.5,46.68,45.53,40.46,0.84,1.11,2126.06,12.13
2015-05-26,46.83,46.88,46.19,46.59,40.71,29581900,47.61,47.78,46.37,45.08,44.47,44.24,45.35,47.33,46.67,45.57,42.45,0.7,1.02,2104.2,14.06
2015-05-27,46.82,47.77,46.62,47.61,41.6,27335600,47.63,47.7,46.57,45.24,44.59,44.25,45.37,47.38,46.75,45.65,60.41,0.68,0.96,2123.48,13.27
2015-05-28,47.5,48.02,47.39,47.45,41.46,19283700,47.62,47.62,46.74,45.41,44.7,44.25,45.39,47.4,46.8,45.72,56.12,0.63,0.89,2120.79,13.31
2015-05-29,47.43,47.57,46.59,46.86,40.94,36519600,47.43,47.53,46.9,45.57,44.79,44.26,45.41,47.3,46.8,45.77,42.15,0.54,0.82,2107.39,13.84
2015-06-01,47.06,47.77,46.62,47.23,41.27,28837300,47.32,47.46,47.08,45.74,44.89,44.28,45.43,47.29,46.84,45.82,48.76,0.5,0.76,2111.73,13.97
