Date,Open,High,Low,Close,Adj Close,Volume,MA10,MA20,MA30,MA40,MA50,MA100,MA200,EMA10,EMA25,EMA50,RSI,MACD,MACD_Signal,SP500_Close,VIX_Close
2015-04-22,25.91,26.21,25.85,26.14,21.64,22784100,26.45,26.78,27.01,27.19,27.45,28.11,26.87,26.38,26.83,27.28,28.16,-0.4,-0.34,2107.96,12.71
2015-04-23,26.13,26.51,26.07,26.39,21.85,22406700,26.39,26.74,26.99,27.16,27.4,28.09,26.87,26.39,26.8,27.24,36.97,-0.37,-0.35,2112.93,12.48
2015-04-24,26.46,26.98,26.41,26.61,22.03,20603400,26.36,26.71,26.97,27.12,27.35,28.07,26.88,26.43,26.78,27.22,40.94,-0.33,-0.34,2117.69,12.29
2015-04-27,26.59,26.62,26.43,26.46,21.9,19349400,26.33,26.68,26.94,27.08,27.31,28.05,26.88,26.43,26.76,27.19,41.07,-0.31,-0.34,2108.92,13.12
2015-04-28,26.49,26.49,26.26,26.37,21.83,14687700,26.3,26.62,26.89,27.04,27.27,28.02,26.89,26.42,26.73,27.16,34.1,-0.3,-0.33,2114.76,12.41
2015-04-29,26.23,26.26,25.93,25.96,21.49,21325200,26.24,26.55,26.84,27.0,27.21,28.0,26.89,26.34,26.67,27.11,29.15,-0.31,-0.32,2106.85,13.39
2015-04-30,25.94,26.16,25.86,26.02,21.54,26387700,26.2,26.5,26.79,26.96,27.16,27.98,26.89,26.28,26.62,27.07,31.64,-0.32,-0.32,2085.51,14.55
2015-05-01,26.07,26.25,26.06,26.2,21.69,14999100,26.22,26.47,26.76,26.92,27.12,27.96,26.89,26.26,26.59,27.03,38.38,-0.3,-0.32,2108.29,12.7
2015-05-04,26.33,26.52,26.15,26.39,21.85,20007600,26.26,26.44,26.71,26.89,27.09,27.94,26.9,26.29,26.57,27.01,43.71,-0.28,-0.31,2114.49,12.85
2015-05-05,26.34,26.34,26.02,26.04,21.56,17566200,26.26,26.4,26.66,26.85,27.05,27.92,26.9,26.24,26.53,26.97,40.36,-0.28,-0.31,2089.46,14.31
2015-05-06,25.97,26.04,25.72,25.88,21.56,16440300,26.23,26.34,26.6,26.81,27.0,27.9,26.9,26.18,26.48,26.93,40.46,-0.29,-0.3,2080.15,15.15
2015-05-07,25.91,26.11,25.77,26.01,21.67,16614300,26.19,26.29,26.56,26.79,26.96,27.89,26.9,26.15,26.45,26.89,51.02,-0.28,-0.3,2088.0,15.13
2015-05-08,26.2,26.42,26.13,26.18,21.81,16042200,26.15,26.26,26.52,26.76,26.93,27.87,26.91,26.15,26.42,26.86,52.57,-0.26,-0.29,2116.1,12.86
2015-05-11,26.11,26.2,26.01,26.03,21.69,11234700,26.11,26.22,26.49,26.73,26.89,27.85,26.91,26.13,26.39,26.83,50.44,-0.25,-0.28,2105.33,13.85
2015-05-12,26.01,26.49,25.96,26.32,21.92,25347000,26.1,26.2,26.45,26.7,26.86,27.84,26.91,26.17,26.39,26.81,53.17,-0.22,-0.27,2099.12,13.86
2015-05-13,26.39,26.48,25.99,26.05,21.7,25263600,26.11,26.17,26.4,26.66,26.82,27.81,26.92,26.15,26.36,26.78,43.94,-0.22,-0.26,2098.48,13.76
2015-05-14,26.12,26.26,26.01,26.24,21.86,18510600,26.14,26.17,26.38,26.63,26.8,27.79,26.92,26.16,26.35,26.76,43.27,-0.19,-0.25,2121.1,12.74
2015-05-15,26.24,26.42,26.19,26.41,22.0,19851600,26.16,26.19,26.36,26.61,26.77,27.77,26.93,26.21,26.36,26.75,49.22,-0.16,-0.23,2122.73,12.38
2015-05-18,26.46,26.65,26.39,26.64,22.19,24900900,26.18,26.22,26.35,26.58,26.75,27.75,26.94,26.29,26.38,26.74,54.67,-0.12,-0.21,2129.2,12.73
2015-05-19,26.06,26.12,25.41,25.48,21.22,67375800,26.12,26.19,26.31,26.52,26.71,27.72,26.95,26.14,26.31,26.69,43.44,-0.17,-0.2,2127.83,12.85
2015-05-20,25.49,25.5,25.28,25.3,21.07,31625700,26.07,26.15,26.25,26.46,26.66,27.68,26.95,25.99,26.23,26.64,40.58,-0.23,-0.21,2125.85,12.88
2015-05-21,25.27,25.47,25.19,25.37,21.13,20268600,26.0,26.1,26.2,26.42,26.63,27.64,26.95,25.87,26.17,26.59,38.75,-0.26,-0.22,2130.82,12.11
2015-05-22,25.4,25.46,25.29,25.29,21.06,20445000,25.91,26.03,26.14,26.37,26.59,27.61,26.96,25.77,26.1,26.54,34.54,-0.29,-0.23,2126.06,12.13
2015-05-26,25.26,25.28,24.94,24.97,20.8,31720800,25.81,25.96,26.08,26.32,26.55,27.57,26.96,25.62,26.01,26.48,34.84,-0.34,-0.25,2104.2,14.06
2015-05-27,25.0,25.17,25.0,25.06,20.88,20961300,25.68,25.89,26.03,26.26,26.49,27.53,26.96,25.52,25.94,26.42,38.24,-0.36,-0.27,2123.48,13.27
2015-05-28,25.02,25.05,24.88,24.95,20.78,15076500,25.57,25.84,25.97,26.19,26.44,27.5,26.96,25.42,25.86,26.36,34.71,-0.39,-0.3,2120.79,13.31
2015-05-29,24.94,24.96,24.72,24.76,20.62,19125300,25.42,25.78,25.92,26.14,26.39,27.46,26.96,25.3,25.78,26.3,29.71,-0.42,-0.32,2107.39,13.84
2015-06-01,24.9,25.03,24.8,24.91,20.75,16938000,25.27,25.71,25.88,26.09,26.34,27.42,26.96,25.23,25.71,26.25,34.0,-0.43,-0.34,2111.73,13.97
2015-06-02,24.85,25.0,24.81,24.84,20.69,17393400,25.09,25.64,25.84,26.04,26.28,27.37,26.96,25.16,25.64,26.19,27.56,-0.43,-0.36,2109.6,14.24
2015-06-03,24.9,25.07,24.82,24.96,20.79,18281400,25.04,25.58,25.81,25.99,26.23,27.32,26.96,25.12,25.59,26.14,32.66,-0.42,-0.37,2114.07,13.66
2015-06-04,24.82,24.99,24.65,24.72,20.59,26948400,24.98,25.52,25.76,25.93,26.17,27.27,26.96,25.05,25.52,26.09,26.22,-0.43,-0.38,2095.84,14.71
2015-06-05,24.72,24.76,24.33,24.35,20.29,31905300,24.88,25.44,25.69,25.87,26.11,27.21,26.96,24.92,25.43,26.02,19.65,-0.46,-0.4,2092.83,14.21
2015-06-08,24.48,24.5,24.2,24.2,20.16,28779000,24.77,25.34,25.61,25.8,26.05,27.16,26.96,24.79,25.34,25.95,13.27,-0.49,-0.42,2079.28,15.29
2015-06-09,24.23,24.28,24.12,24.16,20.12,25006800,24.69,25.25,25.54,25.73,25.99,27.11,26.95,24.68,25.25,25.88,20.0,-0.51,-0.44,2080.15,14.47
2015-06-10,24.24,24.44,24.11,24.31,20.25,33647400,24.62,25.15,25.47,25.67,25.93,27.06,26.95,24.61,25.18,25.82,27.26,-0.51,-0.45,2105.2,13.22
2015-06-11,24.41,24.56,24.28,24.31,20.25,22260000,24.55,25.06,25.41,25.62,25.87,27.02,26.94,24.56,25.11,25.76,24.96,-0.5,-0.46,2108.86,12.85
2015-06-12,24.25,24.3,24.13,24.14,20.11,21739800,24.49,24.96,25.35,25.56,25.81,26.97,26.94,24.48,25.04,25.69,23.98,-0.5,-0.47,2094.11,13.78
2015-06-15,24.07,24.13,23.9,23.98,19.97,22700400,24.4,24.83,25.28,25.51,25.75,26.92,26.93,24.39,24.95,25.63,25.77,-0.51,-0.48,2084.43,15.39
2015-06-16,24.07,24.19,23.91,24.12,20.09,18646800,24.33,24.71,25.2,25.46,25.69,26.87,26.92,24.34,24.89,25.57,27.32,-0.5,-0.48,2096.29,14.81
2015-06-17,24.21,24.3,24.11,24.24,20.19,17111700,24.25,24.65,25.14,25.42,25.64,26.81,26.92,24.32,24.84,25.51,33.23,-0.48,-0.48,2100.44,14.5
2015-06-18,24.25,24.49,24.25,24.33,20.26,25129800,24.21,24.6,25.09,25.37,25.59,26.76,26.91,24.32,24.8,25.47,39.2,-0.45,-0.47,2121.24,13.19
2015-06-19,24.27,24.41,24.23,24.25,20.2,43652100,24.2,24.54,25.03,25.32,25.53,26.71,26.91,24.31,24.76,25.42,32.7,-0.43,-0.47,2109.99,13.96
2015-06-22,24.33,24.4,24.23,24.26,20.21,19468500,24.21,24.49,24.97,25.26,25.48,26.67,26.9,24.3,24.72,25.37,34.46,-0.4,-0.45,2122.85,12.74
2015-06-23,24.3,24.31,24.11,24.19,20.15,23628900,24.21,24.45,24.9,25.2,25.43,26.62,26.89,24.28,24.68,25.33,28.75,-0.39,-0.44,2124.2,12.11
2015-06-24,24.19,24.22,24.05,24.13,20.1,22015200,24.19,24.41,24.83,25.15,25.38,26.57,26.89,24.25,24.64,25.28,31.98,-0.37,-0.43,2108.58,13.26
2015-06-25,24.15,24.21,23.94,23.95,19.95,15879600,24.16,24.36,24.76,25.1,25.33,26.53,26.88,24.2,24.58,25.23,36.18,-0.37,-0.41,2102.31,14.01
2015-06-26,23.99,24.15,23.96,24.04,20.03,20693400,24.15,24.32,24.69,25.05,25.28,26.48,26.87,24.17,24.54,25.18,44.1,-0.36,-0.4,2101.49,14.02
2015-06-29,23.93,24.0,23.8,23.81,19.83,24563400,24.13,24.26,24.6,24.99,25.24,26.43,26.86,24.1,24.49,25.13,38.85,-0.37,-0.4,2057.64,18.85
2015-06-30,23.94,23.94,23.59,23.64,19.69,33307800,24.08,24.2,24.5,24.92,25.19,26.38,26.86,24.02,24.42,25.07,28.9,-0.38,-0.39,2063.11,18.23
2015-07-01,23.87,23.98,23.45,23.96,19.96,32321700,24.06,24.15,24.45,24.87,25.15,26.32,26.85,24.01,24.39,25.03,40.67,-0.36,-0.39,2077.42,16.09
2015-07-02,24.01,24.19,23.89,23.95,19.95,19758300,24.02,24.12,24.41,24.82,25.1,26.28,26.84,24.0,24.35,24.98,44.51,-0.34,-0.38,2076.78,16.79
2015-07-06,23.79,24.23,23.79,24.18,20.14,31609500,24.01,24.11,24.37,24.77,25.06,26.23,26.84,24.03,24.34,24.95,55.6,-0.3,-0.36,2068.76,17.01
2015-07-07,24.22,24.62,24.0,24.6,20.49,37263900,24.04,24.13,24.34,24.74,25.02,26.19,26.83,24.13,24.36,24.94,61.61,-0.24,-0.34,2081.34,16.09
2015-07-08,24.43,24.53,24.3,24.35,20.29,23373000,24.06,24.14,24.32,24.69,24.98,26.14,26.83,24.17,24.36,24.92,52.52,-0.2,-0.31,2046.68,19.66
2015-07-09,24.56,24.58,24.24,24.26,20.21,26087400,24.07,24.13,24.3,24.64,24.93,26.1,26.82,24.19,24.35,24.89,48.48,-0.18,-0.28,2051.31,19.97
