Date,Open,High,Low,Close,Adj Close,Volume,MA10,MA20,MA30,MA40,MA50,MA100,MA200,EMA10,EMA25,EMA50,RSI,MACD,MACD_Signal,SP500_Close,VIX_Close
2015-04-22,87.04,87.8,86.34,87.46,57.93,8663600,86.65,85.68,85.32,85.77,86.8,89.02,93.17,86.7,86.22,86.93,64.76,0.33,-0.02,2107.96,12.71
2015-04-23,87.36,88.38,87.31,87.54,57.98,9866100,86.94,85.81,85.43,85.72,86.73,88.95,93.09,86.86,86.32,86.95,66.07,0.38,0.06,2112.93,12.48
2015-04-24,87.19,87.36,86.66,86.97,57.6,8405700,87.08,85.95,85.53,85.68,86.66,88.92,93.01,86.88,86.37,86.95,59.37,0.38,0.12,2117.69,12.29
2015-04-27,87.41,87.6,86.76,87.01,57.63,10534600,87.25,86.12,85.63,85.64,86.55,88.86,92.93,86.9,86.42,86.96,56.82,0.37,0.17,2108.92,13.12
2015-04-28,87.22,87.86,87.04,87.8,58.15,9633800,87.36,86.23,85.73,85.64,86.44,88.8,92.86,87.06,86.53,86.99,72.42,0.42,0.22,2114.76,12.41
2015-04-29,87.5,88.07,86.96,87.87,58.2,12534100,87.34,86.37,85.86,85.64,86.34,88.73,92.79,87.21,86.63,87.02,70.59,0.46,0.27,2106.85,13.39
2015-04-30,88.67,88.67,87.22,87.37,57.87,13947700,87.31,86.52,85.9,85.65,86.27,88.66,92.71,87.24,86.69,87.04,62.21,0.45,0.31,2085.51,14.55
2015-05-01,87.85,88.95,87.7,88.85,58.85,12257100,87.5,86.74,86.05,85.7,86.25,88.61,92.64,87.53,86.85,87.11,70.24,0.56,0.36,2108.29,12.7
2015-05-04,89.42,89.88,88.95,89.11,59.02,10343700,87.69,86.94,86.2,85.79,86.24,88.58,92.57,87.82,87.03,87.19,66.23,0.65,0.42,2114.49,12.85
2015-05-05,89.97,90.09,88.52,88.61,58.69,11895000,87.86,87.08,86.31,85.87,86.23,88.56,92.5,87.96,87.15,87.24,53.96,0.68,0.47,2089.46,14.31
2015-05-06,89.65,89.96,87.79,88.19,58.41,11273500,87.93,87.29,86.43,85.97,86.21,88.55,92.43,88.0,87.23,87.28,53.4,0.66,0.51,2080.15,15.15
2015-05-07,88.0,88.1,86.92,87.6,58.02,9992500,87.94,87.44,86.52,86.06,86.17,88.53,92.35,87.93,87.26,87.29,55.11,0.59,0.52,2088.0,15.13
2015-05-08,88.47,89.07,87.82,88.99,58.94,11390300,88.14,87.61,86.68,86.18,86.17,88.56,92.27,88.12,87.39,87.36,61.47,0.64,0.55,2116.1,12.86
2015-05-11,88.53,88.57,86.65,86.78,57.95,11997800,88.12,87.68,86.78,86.25,86.14,88.56,92.18,87.88,87.34,87.34,49.47,0.49,0.54,2105.33,13.85
2015-05-12,86.89,87.46,86.42,87.02,58.11,9788900,88.04,87.7,86.83,86.31,86.12,88.56,92.1,87.72,87.32,87.32,47.59,0.39,0.51,2099.12,13.86
2015-05-13,87.28,87.73,86.4,86.56,57.8,8629400,87.91,87.63,86.88,86.37,86.1,88.54,92.01,87.51,87.26,87.29,44.85,0.27,0.46,2098.48,13.76
2015-05-14,86.93,87.34,86.75,86.97,58.08,8791300,87.87,87.59,86.97,86.39,86.09,88.5,91.93,87.41,87.24,87.28,50.0,0.21,0.41,2121.1,12.74
2015-05-15,86.8,87.62,86.6,87.35,58.33,8422200,87.72,87.61,87.07,86.47,86.1,88.43,91.85,87.4,87.25,87.28,51.75,0.19,0.37,2122.73,12.38
2015-05-18,87.31,87.46,86.78,86.85,58.0,6395400,87.49,87.59,87.12,86.52,86.13,88.37,91.79,87.3,87.22,87.27,44.95,0.13,0.32,2129.2,12.73
2015-05-19,86.47,87.21,86.21,86.99,58.09,9777100,87.33,87.59,87.17,86.56,86.16,88.29,91.73,87.24,87.2,87.26,45.36,0.09,0.27,2127.83,12.85
2015-05-20,87.39,87.4,86.91,87.13,58.18,7276600,87.22,87.58,87.27,86.63,86.22,88.23,91.67,87.22,87.19,87.25,48.68,0.07,0.23,2125.85,12.88
2015-05-21,87.28,87.44,86.96,87.21,58.24,8357400,87.18,87.56,87.35,86.69,86.29,88.17,91.61,87.22,87.19,87.25,39.38,0.06,0.2,2130.82,12.11
2015-05-22,86.99,87.1,86.5,86.52,57.78,7598400,86.94,87.54,87.39,86.74,86.33,88.1,91.55,87.09,87.14,87.22,34.11,0.0,0.16,2126.06,12.13
2015-05-26,86.04,86.37,85.03,85.35,57.0,11289000,86.79,87.46,87.39,86.79,86.36,88.02,91.48,86.78,87.0,87.15,31.52,-0.14,0.1,2104.2,14.06
2015-05-27,85.3,85.89,84.77,85.11,56.84,10778300,86.6,87.32,87.34,86.77,86.37,87.95,91.41,86.47,86.86,87.07,32.18,-0.27,0.02,2123.48,13.27
