Date,Open,High,Low,Close,Adj Close,Volume,MA10,MA20,MA30,MA40,MA50,MA100,MA200,EMA10,EMA25,EMA50,RSI,MACD,MACD_Signal,SP500_Close,VIX_Close
2015-04-22,31.75,32.22,31.58,32.15,28.82,150618000,31.69,31.47,31.47,31.59,31.68,29.94,27.67,31.7,31.55,31.15,64.65,0.13,0.09,2107.96,12.71
2015-04-23,32.08,32.6,32.03,32.42,29.06,183083600,31.77,31.55,31.53,31.6,31.71,29.96,27.71,31.83,31.62,31.2,64.61,0.18,0.11,2112.93,12.48
2015-04-24,32.62,32.66,32.31,32.57,29.19,178103600,31.85,31.63,31.58,31.6,31.74,29.99,27.75,31.97,31.69,31.25,60.88,0.23,0.14,2117.69,12.29
2015-04-27,33.08,33.28,32.79,33.16,29.72,387816800,31.99,31.74,31.65,31.63,31.77,30.04,27.8,32.18,31.81,31.33,72.9,0.31,0.17,2108.92,13.12
2015-04-28,33.62,33.63,32.39,32.64,29.26,475696000,32.1,31.8,31.7,31.63,31.79,30.08,27.84,32.27,31.87,31.38,65.33,0.33,0.2,2114.76,12.41
2015-04-29,32.54,32.9,32.08,32.16,28.83,253544400,32.15,31.85,31.71,31.63,31.79,30.11,27.88,32.25,31.89,31.41,56.07,0.31,0.22,2106.85,13.39
2015-04-30,32.16,32.16,31.15,31.29,28.04,332781600,32.12,31.86,31.68,31.61,31.78,30.13,27.92,32.07,31.85,31.4,45.15,0.21,0.22,2085.51,14.55
2015-05-01,31.52,32.53,31.33,32.24,28.89,234050400,32.23,31.91,31.7,31.63,31.78,30.17,27.96,32.1,31.88,31.44,54.44,0.21,0.22,2108.29,12.7
2015-05-04,32.38,32.64,32.06,32.17,28.84,203953200,32.25,31.92,31.72,31.64,31.77,30.21,28.01,32.12,31.9,31.47,55.14,0.2,0.22,2114.49,12.85
2015-05-05,32.04,32.11,31.44,31.45,28.19,197085600,32.23,31.92,31.71,31.63,31.74,30.24,28.05,31.99,31.86,31.47,48.1,0.14,0.2,2089.46,14.31
2015-05-06,31.64,31.69,30.84,31.25,28.01,288564000,32.14,31.91,31.69,31.63,31.7,30.27,28.09,31.86,31.82,31.46,47.76,0.07,0.17,2080.15,15.15
