Date,Open,High,Low,Close,Adj Close,Volume,MA10,MA20,MA30,MA40,MA50,MA100,MA200,EMA10,EMA25,EMA50,RSI,MACD,MACD_Signal,SP500_Close,VIX_Close
2015-04-22,19.6,19.71,19.4,19.49,19.49,69494000,19.25,18.95,18.85,18.91,18.91,17.32,16.77,19.24,18.99,18.57,68.03,0.22,0.17,2107.96,12.71
2015-04-23,19.51,19.59,19.31,19.5,19.5,159600000,19.28,19.0,18.89,18.92,18.93,17.35,16.78,19.29,19.03,18.6,66.93,0.22,0.18,2112.93,12.48
2015-04-24,21.95,22.63,21.95,22.25,22.25,343538000,19.59,19.19,19.01,19.0,19.0,17.4,16.81,19.83,19.28,18.75,83.13,0.45,0.24,2117.69,12.29
2015-04-27,22.19,22.35,21.87,21.93,21.93,108618000,19.87,19.36,19.12,19.07,19.06,17.46,16.84,20.21,19.48,18.87,80.08,0.59,0.31,2108.92,13.12
2015-04-28,21.93,21.95,21.4,21.47,21.47,82810000,20.09,19.5,19.22,19.12,19.1,17.51,16.86,20.44,19.64,18.97,72.05,0.66,0.38,2114.76,12.41
2015-04-29,21.34,21.71,21.3,21.47,21.47,72434000,20.32,19.64,19.31,19.18,19.16,17.57,16.88,20.62,19.78,19.07,71.45,0.71,0.44,2106.85,13.39
2015-04-30,21.36,21.59,20.96,21.09,21.09,72958000,20.5,19.77,19.39,19.23,19.21,17.62,16.9,20.71,19.88,19.15,67.24,0.71,0.5,2085.51,14.55
2015-05-01,21.19,21.28,20.8,21.14,21.14,71316000,20.74,19.9,19.47,19.27,19.25,17.67,16.91,20.79,19.98,19.23,67.72,0.7,0.54,2108.29,12.7
2015-05-04,21.24,21.49,21.12,21.15,21.15,45408000,20.9,20.01,19.55,19.33,19.29,17.73,16.93,20.85,20.07,19.3,66.97,0.69,0.57,2114.49,12.85
2015-05-05,21.14,21.38,21.05,21.06,21.06,57128000,21.06,20.13,19.63,19.38,19.33,17.79,16.95,20.89,20.14,19.37,66.86,0.67,0.59,2089.46,14.31
2015-05-06,21.07,21.14,20.73,20.95,20.95,51050000,21.2,20.22,19.7,19.44,19.37,17.84,16.96,20.9,20.21,19.43,64.84,0.63,0.6,2080.15,15.15
2015-05-07,21.21,21.42,21.14,21.34,21.34,55322000,21.39,20.33,19.79,19.52,19.41,17.9,16.98,20.98,20.29,19.51,73.6,0.63,0.6,2088.0,15.13
2015-05-08,21.54,21.76,21.51,21.68,21.68,58176000,21.33,20.46,19.9,19.59,19.46,17.97,17.0,21.11,20.4,19.59,71.75,0.65,0.61,2116.1,12.86
2015-05-11,21.63,21.95,21.57,21.64,21.64,47874000,21.3,20.59,20.01,19.67,19.52,18.03,17.02,21.21,20.5,19.68,70.68,0.65,0.62,2105.33,13.85
2015-05-12,21.55,21.66,21.34,21.55,21.55,38956000,21.31,20.7,20.1,19.74,19.56,18.1,17.04,21.27,20.58,19.75,70.37,0.64,0.62,2099.12,13.86
2015-05-13,21.5,21.68,21.29,21.34,21.34,39926000,21.3,20.81,20.19,19.81,19.6,18.16,17.07,21.28,20.64,19.81,67.54,0.6,0.62,2098.48,13.76
2015-05-14,21.47,21.65,21.35,21.61,21.61,37770000,21.35,20.92,20.3,19.88,19.65,18.23,17.1,21.34,20.71,19.88,38.44,0.59,0.61,2121.1,12.74
2015-05-15,21.4,21.52,21.22,21.3,21.3,84806000,21.36,21.05,20.39,19.95,19.69,18.29,17.12,21.34,20.76,19.94,38.62,0.55,0.6,2122.73,12.38
2015-05-18,21.3,21.36,21.07,21.26,21.26,47804000,21.38,21.14,20.47,20.01,19.74,18.35,17.15,21.32,20.8,19.99,45.64,0.51,0.58,2129.2,12.73
2015-05-19,21.24,21.41,21.03,21.09,21.09,49284000,21.38,21.22,20.55,20.06,19.78,18.41,17.18,21.28,20.82,20.03,42.37,0.46,0.56,2127.83,12.85
2015-05-20,21.03,21.35,20.92,21.19,21.19,43924000,21.4,21.3,20.62,20.13,19.83,18.47,17.21,21.26,20.85,20.08,52.32,0.42,0.53,2125.85,12.88
2015-05-21,21.4,21.84,21.4,21.58,21.58,82428000,21.43,21.41,20.7,20.2,19.9,18.53,17.24,21.32,20.9,20.14,58.52,0.42,0.51,2130.82,12.11
2015-05-22,21.58,21.62,21.38,21.38,21.38,40412000,21.4,21.36,20.77,20.28,19.95,18.59,17.27,21.33,20.94,20.19,54.15,0.39,0.48,2126.06,12.13
