Date,Open,High,Low,Close,Adj Close,Volume,MA10,MA20,MA30,MA40,MA50,MA100,MA200,EMA10,EMA25,EMA50,RSI,MACD,MACD_Signal,SP500_Close,VIX_Close
2015-04-22,100.63,100.8,99.96,100.43,77.94,4763900,100.54,100.33,100.51,100.8,100.66,102.56,103.33,100.32,100.51,100.99,58.7,-0.18,-0.19,2107.96,12.71
2015-04-23,100.5,100.82,99.91,100.46,77.97,7351500,100.45,100.33,100.58,100.78,100.66,102.49,103.3,100.35,100.51,100.97,55.94,-0.16,-0.18,2112.93,12.48
2015-04-24,100.11,101.53,100.0,101.08,78.45,6566900,100.35,100.38,100.62,100.74,100.67,102.42,103.28,100.48,100.55,100.97,63.64,-0.09,-0.16,2117.69,12.29
2015-04-27,101.16,101.6,100.47,100.58,78.06,9113900,100.36,100.39,100.67,100.69,100.72,102.34,103.25,100.5,100.55,100.96,53.64,-0.07,-0.14,2108.92,13.12
2015-04-28,100.45,100.95,99.31,100.74,78.18,7484600,100.38,100.35,100.66,100.63,100.74,102.26,103.23,100.54,100.57,100.95,54.33,-0.05,-0.13,2114.76,12.41
2015-04-29,100.51,100.61,99.9,100.39,77.91,8926200,100.36,100.34,100.68,100.58,100.74,102.19,103.2,100.51,100.55,100.93,42.01,-0.06,-0.11,2106.85,13.39
2015-04-30,100.07,100.15,98.77,99.2,76.99,10170600,100.3,100.34,100.6,100.52,100.72,102.11,103.18,100.28,100.45,100.86,27.44,-0.16,-0.12,2085.51,14.55
2015-05-01,99.62,100.39,99.62,100.13,77.71,6255000,100.35,100.37,100.55,100.46,100.71,102.02,103.17,100.25,100.43,100.83,46.35,-0.16,-0.13,2108.29,12.7
2015-05-04,100.33,100.55,100.16,100.35,77.88,5532400,100.37,100.43,100.48,100.46,100.71,101.94,103.17,100.27,100.42,100.81,48.57,-0.14,-0.13,2114.49,12.85
2015-05-05,100.13,100.29,99.29,99.5,77.22,8828000,100.29,100.4,100.36,100.43,100.7,101.86,103.16,100.13,100.35,100.76,41.82,-0.19,-0.14,2089.46,14.31
2015-05-06,99.62,99.87,98.66,99.17,76.97,8030800,100.16,100.35,100.27,100.42,100.67,101.79,103.15,99.95,100.26,100.7,45.03,-0.26,-0.17,2080.15,15.15
2015-05-07,98.94,100.0,98.91,99.66,77.35,6401600,100.08,100.26,100.25,100.46,100.64,101.72,103.14,99.9,100.21,100.66,50.61,-0.27,-0.19,2088.0,15.13
2015-05-08,100.48,101.67,100.44,101.47,78.75,7508600,100.12,100.24,100.29,100.5,100.61,101.69,103.13,100.19,100.31,100.69,58.18,-0.13,-0.18,2116.1,12.86
2015-05-11,101.32,101.66,101.01,101.03,78.41,5698900,100.16,100.26,100.32,100.54,100.58,101.66,103.13,100.34,100.36,100.7,54.53,-0.05,-0.15,2105.33,13.85
2015-05-12,100.88,101.05,100.28,100.47,77.98,6903100,100.14,100.26,100.28,100.53,100.53,101.63,103.12,100.36,100.37,100.69,50.24,-0.04,-0.13,2099.12,13.86
2015-05-13,100.68,101.13,100.47,100.55,78.04,5826800,100.15,100.25,100.28,100.55,100.49,101.6,103.11,100.4,100.39,100.69,50.53,-0.02,-0.11,2098.48,13.76
2015-05-14,100.97,101.87,100.95,101.83,79.03,5454000,100.42,100.36,100.37,100.55,100.5,101.55,103.11,100.66,100.5,100.73,54.08,0.1,-0.07,2121.1,12.74
2015-05-15,101.98,102.32,101.67,102.3,79.4,6023500,100.63,100.49,100.46,100.57,100.49,101.52,103.11,100.96,100.64,100.79,59.39,0.23,-0.01,2122.73,12.38
2015-05-18,102.37,104.34,102.32,103.42,80.26,10479600,100.94,100.65,100.6,100.6,100.56,101.48,103.13,101.4,100.85,100.9,63.24,0.42,0.08,2129.2,12.73
2015-05-19,103.66,104.12,103.26,103.96,80.68,7724100,101.39,100.84,100.73,100.62,100.62,101.48,103.15,101.87,101.09,101.02,67.31,0.6,0.18,2127.83,12.85
2015-05-20,104.42,104.48,103.31,103.6,80.4,7146500,101.83,100.99,100.84,100.66,100.7,101.47,103.16,102.18,101.28,101.12,73.21,0.71,0.29,2125.85,12.88
2015-05-21,102.91,103.3,102.34,102.42,80.07,6875600,102.11,101.09,100.88,100.71,100.79,101.44,103.18,102.23,101.37,101.17,61.77,0.69,0.37,2130.82,12.11
2015-05-22,102.27,102.41,101.33,101.35,79.23,6216600,102.09,101.11,100.85,100.74,100.82,101.4,103.18,102.07,101.37,101.18,54.73,0.59,0.41,2126.06,12.13
2015-05-26,101.23,101.55,100.58,100.82,78.82,7918900,102.07,101.12,100.86,100.76,100.85,101.36,103.19,101.84,101.33,101.16,56.43,0.46,0.42,2104.2,14.06
2015-05-27,101.01,101.41,100.8,101.13,79.06,9297900,102.14,101.14,100.88,100.74,100.85,101.32,103.19,101.71,101.31,101.16,59.57,0.37,0.41,2123.48,13.27
2015-05-28,101.01,101.7,100.81,101.15,79.08,5700100,102.2,101.18,100.9,100.76,100.88,101.29,103.19,101.61,101.3,101.16,57.63,0.3,0.39,2120.79,13.31
2015-05-29,101.55,101.62,99.83,100.14,78.29,9957800,102.03,101.22,100.91,100.78,100.85,101.25,103.18,101.34,101.21,101.12,42.59,0.17,0.35,2107.39,13.84
2015-06-01,100.28,100.6,99.72,100.04,78.21,7298100,101.8,101.22,100.93,100.79,100.82,101.22,103.17,101.11,101.12,101.08,44.26,0.05,0.29,2111.73,13.97
2015-06-02,99.92,100.24,99.1,99.98,78.16,8312400,101.46,101.2,100.92,100.81,100.77,101.17,103.16,100.9,101.03,101.04,46.99,-0.05,0.22,2109.6,14.24
2015-06-03,100.32,100.43,99.84,100.09,78.25,5375200,101.07,101.23,100.91,100.81,100.71,101.1,103.16,100.75,100.96,101.0,47.18,-0.12,0.15,2114.07,13.66
2015-06-04,99.94,100.47,99.06,99.23,77.57,8057900,100.63,101.23,100.87,100.79,100.66,101.05,103.14,100.48,100.83,100.93,33.2,-0.24,0.07,2095.84,14.71
2015-06-05,98.99,99.05,98.2,98.59,77.07,7557300,100.25,101.18,100.81,100.72,100.62,100.99,103.12,100.13,100.65,100.84,26.55,-0.38,-0.02,2092.83,14.21
2015-06-08,98.6,98.98,97.96,97.96,76.58,7054600,99.91,101.0,100.71,100.62,100.58,100.92,103.09,99.74,100.45,100.72,13.21,-0.54,-0.12,2079.28,15.29
2015-06-09,98.44,98.54,97.8,98.21,76.78,7844300,99.65,100.86,100.63,100.56,100.53,100.86,103.06,99.46,100.28,100.63,9.68,-0.63,-0.22,2080.15,14.47
