Date,Open,High,Low,Close,Adj Close,Volume,MA10,MA20,MA30,MA40,MA50,MA100,MA200,EMA10,EMA25,EMA50,RSI,MACD,MACD_Signal,SP500_Close,VIX_Close
2015-04-22,62.65,63.15,62.03,62.94,48.67,14484700,62.76,61.54,61.44,61.43,61.04,60.16,59.54,62.59,61.81,61.07,69.44,0.69,0.58,2107.96,12.71
2015-04-23,62.79,63.21,62.6,62.8,48.56,12851300,62.9,61.7,61.52,61.47,61.13,60.19,59.57,62.63,61.89,61.14,65.7,0.67,0.6,2112.93,12.48
2015-04-24,62.63,62.84,62.34,62.6,48.41,9597500,62.99,61.85,61.56,61.5,61.21,60.21,59.6,62.63,61.94,61.2,64.37,0.62,0.6,2117.69,12.29
2015-04-27,62.7,63.15,62.31,62.34,48.21,11146400,63.01,61.99,61.61,61.53,61.27,60.23,59.64,62.57,61.97,61.24,60.22,0.56,0.59,2108.92,13.12
2015-04-28,62.49,62.78,61.77,62.76,48.53,12307800,62.98,62.08,61.64,61.55,61.33,60.25,59.67,62.61,62.03,61.3,61.38,0.54,0.58,2114.76,12.41
2015-04-29,62.56,63.89,62.46,63.6,49.18,17601200,62.92,62.23,61.7,61.59,61.4,60.27,59.71,62.79,62.15,61.39,63.43,0.59,0.58,2106.85,13.39
2015-04-30,63.58,63.88,62.92,63.26,48.92,16840900,62.87,62.39,61.75,61.62,61.48,60.29,59.73,62.87,62.24,61.47,59.7,0.59,0.59,2085.51,14.55
2015-05-01,63.7,63.87,63.33,63.61,49.19,11640100,62.95,62.55,61.83,61.66,61.56,60.3,59.76,63.01,62.35,61.55,59.6,0.61,0.59,2108.29,12.7
2015-05-04,63.68,64.87,63.64,64.72,50.05,14972500,63.09,62.76,61.93,61.76,61.66,60.32,59.79,63.32,62.53,61.67,60.29,0.71,0.61,2114.49,12.85
2015-05-05,64.51,65.32,64.29,64.4,49.8,17692400,63.3,62.94,62.04,61.83,61.76,60.34,59.82,63.52,62.67,61.78,51.3,0.75,0.64,2089.46,14.31
2015-05-06,64.53,65.07,63.42,63.92,49.43,18087900,63.4,63.08,62.16,61.93,61.83,60.37,59.85,63.59,62.77,61.87,50.74,0.74,0.66,2080.15,15.15
2015-05-07,63.67,64.6,63.25,64.5,49.88,15039900,63.57,63.23,62.32,62.03,61.89,60.4,59.88,63.75,62.9,61.97,61.86,0.77,0.68,2088.0,15.13
2015-05-08,64.97,65.65,64.6,65.49,50.64,16802600,63.86,63.42,62.52,62.14,61.97,60.46,59.91,64.07,63.1,62.11,64.82,0.86,0.72,2116.1,12.86
2015-05-11,65.26,65.64,65.08,65.45,50.61,13798800,64.17,63.59,62.72,62.25,62.05,60.52,59.95,64.32,63.28,62.24,73.43,0.92,0.76,2105.33,13.85
2015-05-12,65.31,65.54,64.76,65.36,50.54,12762200,64.43,63.71,62.86,62.34,62.13,60.59,59.98,64.51,63.44,62.36,69.64,0.95,0.8,2099.12,13.86
2015-05-13,65.42,65.63,65.06,65.52,50.66,11874100,64.62,63.77,63.03,62.43,62.2,60.65,60.01,64.69,63.6,62.48,72.01,0.97,0.83,2098.48,13.76
2015-05-14,65.83,66.18,65.71,66.05,51.07,11855500,64.9,63.89,63.23,62.54,62.28,60.69,60.05,64.94,63.79,62.62,76.5,1.02,0.87,2121.1,12.74
2015-05-15,66.13,66.16,65.44,65.88,50.94,11152100,65.13,64.04,63.41,62.66,62.35,60.73,60.08,65.11,63.95,62.75,77.57,1.04,0.9,2122.73,12.38
2015-05-18,65.8,66.54,65.8,66.42,51.36,10510900,65.3,64.2,63.61,62.77,62.46,60.78,60.12,65.35,64.14,62.9,77.98,1.08,0.94,2129.2,12.73
2015-05-19,66.77,67.19,66.57,67.01,51.82,14282700,65.56,64.43,63.81,62.92,62.57,60.82,60.18,65.65,64.36,63.06,77.11,1.15,0.98,2127.83,12.85
2015-05-20,66.95,67.03,66.4,66.48,51.41,12446000,65.82,64.61,63.99,63.07,62.7,60.86,60.23,65.8,64.52,63.19,74.85,1.15,1.01,2125.85,12.88
2015-05-21,66.14,66.68,66.01,66.65,51.54,12934500,66.03,64.8,64.17,63.25,62.83,60.9,60.28,65.96,64.69,63.33,74.13,1.14,1.04,2130.82,12.11
2015-05-22,66.63,66.83,66.32,66.47,51.4,9296900,66.13,64.99,64.32,63.42,62.94,60.94,60.33,66.05,64.82,63.45,66.29,1.12,1.06,2126.06,12.13
2015-05-26,66.2,66.29,65.31,65.73,50.83,15571300,66.16,65.16,64.45,63.58,63.03,60.97,60.38,65.99,64.89,63.54,61.49,1.02,1.05,2104.2,14.06
2015-05-27,65.95,66.65,65.82,66.47,51.4,10963700,66.27,65.35,64.56,63.71,63.12,61.0,60.43,66.08,65.02,63.65,71.07,1.0,1.04,2123.48,13.27
2015-05-28,66.36,66.4,65.74,66.2,51.19,11797400,66.34,65.48,64.63,63.85,63.21,61.04,60.48,66.1,65.11,63.75,64.81,0.94,1.02,2120.79,13.31
2015-05-29,66.18,66.22,65.36,65.78,50.87,14310700,66.31,65.61,64.69,64.0,63.29,61.09,60.53,66.04,65.16,63.83,52.8,0.86,0.99,2107.39,13.84
2015-06-01,65.99,66.66,65.97,66.08,51.1,11899300,66.33,65.73,64.8,64.14,63.39,61.16,60.57,66.05,65.23,63.92,55.8,0.8,0.95,2111.73,13.97
2015-06-02,65.83,66.39,65.58,66.02,51.05,12784200,66.29,65.79,64.89,64.28,63.48,61.23,60.62,66.04,65.29,64.0,56.11,0.75,0.91,2109.6,14.24
2015-06-03,66.43,67.13,66.27,66.7,51.58,12927300,66.26,65.91,65.04,64.42,63.59,61.3,60.67,66.16,65.4,64.11,59.97,0.75,0.88,2114.07,13.66
2015-06-04,66.31,67.05,66.01,66.33,51.29,13863300,66.24,66.03,65.15,64.56,63.71,61.37,60.71,66.19,65.47,64.2,52.43,0.71,0.84,2095.84,14.71
2015-06-05,67.37,67.84,67.01,67.42,52.13,20801100,66.32,66.18,65.31,64.7,63.86,61.45,60.76,66.42,65.62,64.32,61.53,0.76,0.83,2092.83,14.21
2015-06-08,67.46,67.55,66.81,66.89,51.72,14558700,66.36,66.25,65.45,64.83,64.01,61.53,60.81,66.5,65.72,64.42,53.52,0.75,0.81,2079.28,15.29
2015-06-09,66.95,67.27,66.47,67.18,51.95,13263500,66.51,66.33,65.61,64.96,64.16,61.64,60.85,66.63,65.83,64.53,51.33,0.76,0.8,2080.15,14.47
2015-06-10,67.59,68.5,67.47,68.26,52.78,17478900,66.69,66.48,65.79,65.09,64.31,61.77,60.9,66.92,66.02,64.68,62.86,0.84,0.81,2105.2,13.22
