Date,Open,High,Low,Close,Adj Close,Volume,MA10,MA20,MA30,MA40,MA50,MA100,MA200,EMA10,EMA25,EMA50,RSI,MACD,MACD_Signal,SP500_Close,VIX_Close
2015-04-22,83.22,83.34,82.6,83.09,63.54,6753100,83.18,82.85,82.98,83.3,83.75,86.74,85.23,83.06,83.21,84.02,59.14,-0.18,-0.27,2107.96,12.71
2015-04-23,81.42,82.1,80.9,80.95,62.41,14569500,82.99,82.74,82.96,83.18,83.66,86.66,85.23,82.68,83.04,83.9,38.14,-0.33,-0.28,2112.93,12.48
2015-04-24,81.04,81.53,80.9,81.0,62.44,8785500,82.76,82.69,82.93,83.08,83.57,86.57,85.22,82.37,82.88,83.79,32.04,-0.45,-0.32,2117.69,12.29
2015-04-27,80.91,81.2,80.47,80.6,62.14,9192300,82.47,82.6,82.88,82.97,83.46,86.47,85.22,82.05,82.71,83.66,33.52,-0.56,-0.36,2108.92,13.12
2015-04-28,80.73,80.82,80.19,80.42,62.0,8395500,82.15,82.49,82.78,82.84,83.35,86.37,85.22,81.75,82.53,83.53,27.53,-0.66,-0.42,2114.76,12.41
2015-04-29,80.0,80.31,79.72,79.85,61.56,11858500,81.79,82.38,82.68,82.71,83.24,86.27,85.21,81.41,82.33,83.39,23.24,-0.78,-0.49,2106.85,13.39
2015-04-30,79.95,80.15,79.07,79.51,61.3,9409300,81.39,82.24,82.54,82.59,83.1,86.15,85.2,81.06,82.11,83.24,15.47,-0.89,-0.57,2085.51,14.55
2015-05-01,79.76,80.32,79.63,80.29,61.9,8193000,81.17,82.13,82.44,82.48,83.01,86.05,85.2,80.92,81.97,83.12,24.92,-0.9,-0.64,2108.29,12.7
2015-05-04,80.48,80.97,80.3,80.35,61.94,7203800,80.91,82.0,82.29,82.42,82.92,85.95,85.2,80.82,81.84,83.01,23.58,-0.89,-0.69,2114.49,12.85
2015-05-05,80.5,80.65,79.78,80.07,61.73,6589400,80.61,81.88,82.13,82.35,82.81,85.84,85.19,80.68,81.71,82.9,22.87,-0.9,-0.73,2089.46,14.31
2015-05-06,80.34,80.58,79.52,80.4,61.98,7335700,80.34,81.76,82.01,82.32,82.71,85.75,85.19,80.63,81.61,82.8,26.73,-0.87,-0.76,2080.15,15.15
2015-05-07,80.37,80.55,80.0,80.2,61.83,7224300,80.27,81.63,81.92,82.29,82.6,85.65,85.2,80.55,81.5,82.7,30.22,-0.85,-0.78,2088.0,15.13
2015-05-08,80.89,81.21,80.82,80.96,62.41,6929400,80.26,81.51,81.88,82.26,82.52,85.56,85.2,80.63,81.46,82.63,34.87,-0.77,-0.78,2116.1,12.86
2015-05-11,80.95,80.99,80.26,80.27,61.88,5237800,80.23,81.35,81.81,82.22,82.42,85.47,85.2,80.56,81.37,82.54,29.31,-0.75,-0.77,2105.33,13.85
2015-05-12,80.03,80.29,79.36,79.95,61.64,6305800,80.18,81.17,81.72,82.13,82.31,85.38,85.2,80.45,81.26,82.44,27.89,-0.75,-0.77,2099.12,13.86
2015-05-13,80.16,80.59,79.55,79.7,61.44,6459900,80.17,80.98,81.64,82.05,82.2,85.27,85.2,80.31,81.14,82.33,38.0,-0.76,-0.77,2098.48,13.76
2015-05-14,80.11,80.69,80.09,80.57,62.11,5634200,80.28,80.83,81.59,81.97,82.13,85.15,85.21,80.36,81.09,82.26,46.43,-0.7,-0.75,2121.1,12.74
2015-05-15,80.83,81.12,80.73,81.05,62.48,7454800,80.35,80.76,81.54,81.91,82.05,85.04,85.23,80.49,81.09,82.21,53.68,-0.6,-0.72,2122.73,12.38
2015-05-18,80.97,81.13,80.5,80.74,62.24,5590800,80.39,80.65,81.46,81.81,82.02,84.92,85.25,80.53,81.06,82.15,52.56,-0.54,-0.69,2129.2,12.73
2015-05-19,80.75,80.95,80.33,80.83,62.31,5729500,80.47,80.54,81.41,81.71,81.97,84.8,85.25,80.59,81.05,82.1,58.51,-0.48,-0.64,2127.83,12.85
2015-05-20,80.93,81.0,80.45,80.48,62.04,5487000,80.47,80.41,81.33,81.63,81.95,84.67,85.26,80.57,81.0,82.04,58.41,-0.45,-0.61,2125.85,12.88
2015-05-21,80.17,80.58,79.84,80.41,61.99,6054700,80.5,80.38,81.25,81.56,81.93,84.54,85.26,80.54,80.96,81.97,51.19,-0.43,-0.57,2130.82,12.11
2015-05-22,80.24,80.4,79.92,79.95,61.64,6003600,80.39,80.33,81.14,81.51,81.89,84.41,85.26,80.43,80.88,81.9,46.34,-0.45,-0.55,2126.06,12.13
2015-05-26,79.97,80.07,78.94,79.14,61.01,6698300,80.28,80.26,81.0,81.43,81.83,84.28,85.25,80.2,80.75,81.79,42.24,-0.52,-0.54,2104.2,14.06
2015-05-27,79.22,79.94,79.09,79.39,61.2,8094600,80.23,80.21,80.86,81.35,81.75,84.16,85.24,80.05,80.64,81.69,41.46,-0.55,-0.54,2123.48,13.27
